unique_values,counts
black,150
many,126
other,109
more,104
racial,83
social,56
diverse,52
systemic,50
inclusive,48
important,42
past,41
committed,41
economic,38
long,36
better,36
recent,34
few,30
american,29
african,29
safe,28
-,28
new,28
last,28
own,27
critical,26
human,26
tragic,26
meaningful,23
senseless,23
first,22
global,21
difficult,20
real,20
small,19
much,19
equal,19
different,19
local,18
corporate,17
national,17
such,17
civil,17
several,17
greater,16
underserved,16
right,15
additional,15
sure,15
proud,15
current,14
next,14
open,14
covid-19,14
deep,13
daily,13
personal,13
stronger,13
internal,13
positive,12
unique,12
best,12
senior,12
collective,12
good,11
criminal,11
specific,11
unconscious,11
dear,11
equitable,11
clear,11
great,11
enough,11
non,11
hard,11
true,11
fundamental,10
financial,10
possible,9
urgent,9
same,9
individual,9
key,9
executive,9
federal,9
ongoing,8
fellow,8
honest,8
low,8
strong,8
high,8
available,8
longstanding,8
painful,8
willing,8
initial,8
particular,8
cultural,7
disproportionate,7
free,7
affordable,7
public,7
accountable,7
largest,7
lasting,7
angry,7
sexual,7
professional,7
responsible,7
similar,7
afraid,7
consistent,7
deeper,7
devastating,7
broad,7
easy,7
ready,6
fair,6
inspiring,6
broader,6
full,6
implicit,6
chief,6
necessary,6
continued,6
overall,6
discriminatory,6
common,6
legal,6
external,6
successful,6
united,6
immediate,6
future,6
peaceful,5
dedicated,5
able,5
greatest,5
terrible,5
annual,5
perfect,5
short,5
higher,5
stark,5
heartbreaking,5
educational,5
unequal,5
grateful,5
violent,5
sustainable,5
hopeful,5
racist,5
wide,5
unacceptable,5
second,5
white,5
basic,5
silent,5
alone,5
countless,5
everyday,5
uncomfortable,5
horrific,5
structural,4
focused,4
challenging,4
vital,4
anti,4
conscious,4
general,4
digital,4
powerful,4
respectful,4
holistic,4
proactive,4
impossible,4
following,4
mental,4
unarmed,4
transparent,4
extraordinary,4
significant,4
underrepresented,4
unjust,4
core,4
disturbing,4
single,4
effective,4
environmental,4
complex,4
present,4
large,4
shocking,4
active,4
clinical,4
multi,4
determined,4
ethnic,4
eligible,4
normal,4
worthy,4
just,4
frustrated,4
latest,4
primary,4
virtual,4
vast,4
courageous,4
philanthropic,4
civic,4
little,3
heavy,3
profit,3
passive,3
obvious,3
big,3
further,3
elementary,3
medical,3
unwavering,3
foster,3
total,3
potential,3
former,3
authentic,3
substantive,3
fortunate,3
wrong,3
larger,3
certain,3
visible,3
thoughtful,3
valuable,3
comfortable,3
excessive,3
segregated,3
familiar,3
academic,3
sad,3
very,3
evident,3
welcoming,3
entire,3
profound,3
actionable,3
specialized,3
whole,3
highest,3
constructive,3
early,3
special,3
tough,3
like,3
domestic,3
respected,3
hispanic,3
young,3
healthier,3
political,3
troubled,3
aware,3
genetic,3
independent,3
ugly,3
religious,3
facial,3
rich,3
appropriate,3
insensitive,2
continuous,2
traditional,2
slight,2
top,2
dangerous,2
alive,2
subject,2
post,2
international,2
lengthy,2
unprecedented,2
easier,2
concerned,2
underway,2
blind,2
asian,2
poor,2
joint,2
welcome,2
nationwide,2
broadest,2
incredible,2
utmost,2
engaged,2
chronic,2
sensitive,2
less,2
technical,2
harsh,2
daunting,2
visceral,2
anxious,2
slower,2
likely,2
historic,2
saddened,2
supportive,2
nonprofit,2
overdue,2
biggest,2
graphic,2
comprehensive,2
clearer,2
only,2
privileged,2
cross,2
deadly,2
marginalized,2
mixed,2
mutual,2
disinvested,2
foundational,2
fullest,2
various,2
accurate,2
regular,2
central,2
secondary,2
main,2
loud,2
coming,2
worse,2
permanent,2
mass,2
bipartisan,2
reasonable,2
qualified,2
emotional,2
previous,2
purposeful,2
disciplinary,2
subsequent,2
longer,2
urban,2
deliberate,2
unfold,2
steadfast,2
heartbroken,2
sub,2
private,2
multiple,2
fifth,2
managerial,2
level,2
standard,2
vulnerable,2
candid,2
major,2
emblematic,2
enormous,2
prevalent,2
innocent,2
explicit,2
overt,2
palpable,2
outraged,2
bare,2
mandatory,2
direct,2
online,2
divided,2
crucial,2
middle,2
destructive,2
widespread,2
numerous,2
vigilant,1
patient,1
sincere,1
faceted,1
hardest,1
socioeconomic,1
disparate,1
understandable,1
business,1
blooded,1
turbulent,1
womens,1
concrete,1
mindful,1
bright,1
near,1
macro,1
college,1
career,1
tired,1
smallest,1
bottom,1
pivotal,1
graduate,1
related,1
darkest,1
sound,1
separate,1
harmful,1
civilized,1
negotiable,1
maternal,1
fewer,1
exhaustive,1
insightful,1
healthy,1
beautiful,1
frequent,1
technological,1
brutal,1
indigenous,1
heightened,1
indelible,1
humbling,1
elevated,1
2-year,1
usual,1
adequate,1
unpopular,1
absolute,1
plain,1
remote,1
incarcerated,1
associate,1
safer,1
rotten,1
grand,1
legislative,1
incremental,1
troubling,1
heaviest,1
underlying,1
polarizing,1
native,1
transformative,1
favorite,1
historical,1
double,1
secure,1
optimistic,1
pan,1
authoritative,1
complicit,1
negative,1
brown,1
optimist,1
insidious,1
"400,000-plus",1
robust,1
distant,1
enlightening,1
inspirational,1
multifaceted,1
pervasive,1
up,1
155th,1
binary,1
advanced,1
lost,1
behavioral,1
disappointed,1
live,1
due,1
encouraging,1
meaningless,1
above,1
felt,1
stem,1
charitable,1
loyal,1
constitutional,1
fine,1
male,1
4-year,1
isolated,1
socio,1
essential,1
institutionalized,1
progressive,1
analytical,1
restless,1
complicated,1
unconscionable,1
representative,1
pressing,1
organizational,1
close,1
crisp,1
monumental,1
unable,1
poignant,1
vibrant,1
unfair,1
oldest,1
offensive,1
unnecessary,1
fierce,1
disgusted,1
alarmed,1
ineffective,1
upper,1
moderate,1
trustful,1
improved,1
sadder,1
founding,1
modern,1
latino,1
republican,1
pleased,1
reflective,1
contradictory,1
pained,1
stable,1
incumbent,1
vocational,1
principal,1
empathetic,1
underprivileged,1
smaller,1
actual,1
responsive,1
timely,1
principled,1
wise,1
unimaginable,1
passionate,1
durable,1
deepest,1
mid,1
abusive,1
unsafe,1
reprehensible,1
bold,1
imperative,1
physical,1
hateful,1
inherent,1
front,1
interested,1
grave,1
strategic,1
2020(updated,1
wonderful,1
intrinsic,1
serious,1
unalienable,1
lethal,1
quarterly,1
inscrutable,1
ok,1
vivid,1
uninsured,1
heroic,1
disadvantaged,1
biased,1
acute,1
detailed,1
unspeakable,1
societal,1
unified,1
awake,1
constant,1
myriad,1
functional,1
inequitable,1
unsettled,1
humble,1
beloved,1
14th,1
most,1
20-week,1
light,1
thankful,1
least,1
strange,1
toughest,1
upsetting,1
co,1
scientific,1
distressed,1
raw,1
institutional,1
measurable,1
covert,1
troublesome,1
unstable,1
horrible,1
familial,1
predictable,1
simple,1
female,1
marketable,1
talented,1
convenient,1
formal,1
excited,1
indifferent,1
superficial,1
teenage,1
overwhelming,1
considerable,1
insufficient,1
harder,1
thriving,1
multicultural,1
micro,1
lived,1
awkward,1
women-,1
worth,1
rental,1
intentional,1
heartfelt,1
staggering,1
scared,1
mundane,1
flat,1
legitimate,1
round,1
unnamed,1
late,1
okay,1
unfulfilled,1
pointed,1
enlightened,1
abhorrent,1
outstanding,1
collegial,1
tremendous,1
advisory,1
colorectal,1
overarching,1
simplest,1
extra,1
fourth,1
kind,1
absent,1
complete,1
select,1
bottled,1
systematic,1
preventive,1
unstoppable,1
competitive,1
confidential,1
clean,1
creative,1
decisive,1
acceptable,1
worst,1
operational,1
persistent,1
sustained,1
entrenched,1
sobering,1
successive,1
closed,1
regrettable,1
formative,1
incomprehensible,1
military,1
retail,1
democratic,1
inexplicable,1
combat,1
impatient,1
affected,1
noble,1
twin,1
diligent,1
productive,1
relevant,1
notorious,1
confident,1